Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11
FALSE,same,headhousemarital,secondary,agree,purchased,Elementary,Medium Damage Level,"<2,500",No land,shared_toilet
TRUE,same,living_together,secondary,neither,rainwater,Primary,Medium Damage Level,"2,500 - 5,000",No land,shared_toilet
FALSE,n/a,single,higher_edu,agree,purchased,High School,Medium Damage Level,"2,500 - 5,000",No land,#N/A
FALSE,same,married,higher_edu,strongly_agree,tap_hh,Elementary,Medium Damage Level,"<2,500",No land,#N/A
FALSE,less,living_together,higher_edu,agree,purchased,High School,Medium Damage Level,"2,500 - 5,000",No land,#N/A
FALSE,n/a,living_together,higher_edu,agree,purchased,Primary,Medium Damage Level,"<2,500",No land,#N/A
FALSE,n/a,living_together,higher_edu,strongly_agree,rainwater,Primary,Medium Damage Level,"<2,500",No land,#N/A
TRUE,n/a,living_together,secondary,agree,rainwater,High School,Low Damage Level,"2,500 - 5,000",No land,shared_toilet
FALSE,n/a,married,higher_edu,disagree,tap_hh,Elementary,Medium Damage Level,"<2,500",1 or less,#N/A
FALSE,n/a,married,none_primary_only,agree,rainwater,Elementary,Medium Damage Level,"<2,500",1 or less,own_toilet
FALSE,n/a,married,none_primary_only,agree,hand_pump,High School,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
FALSE,n/a,married,none_primary_only,strongly_disagree,purchased,Primary,Medium Damage Level,"<2,500",No land,#N/A
FALSE,less,married,none_primary_only,agree,purchased,Elementary,Medium Damage Level,"<2,500",No land,#N/A
TRUE,n/a,married,higher_edu,agree,hand_pump,Elementary,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,n/a,married,secondary,disagree,purchased,High School,Medium Damage Level,"2,500 - 5,000",No land,#N/A
TRUE,less,living_together,secondary,agree,hand_pump,High School,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,n/a,widowed,secondary,strongly_disagree,purchased,Graduate,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,n/a,married,higher_edu,agree,purchased,High School,Medium Damage Level,"2,500 - 5,000",No land,#N/A
TRUE,n/a,living_together,none_primary_only,disagree,purchased,Elementary,Low Damage Level,"<2,500",No land,shared_toilet
TRUE,n/a,living_together,secondary,agree,hand_pump,Graduate,Destroyed/No House,"2,500 - 5,000",No land,own_toilet
TRUE,n/a,married,secondary,strongly_disagree,purchased,High School,Medium Damage Level,"2,500 - 5,000",No land,#N/A
TRUE,n/a,widowed,higher_edu,neither,purchased,Elementary,Medium Damage Level,"<2,500",No land,own_toilet
TRUE,n/a,living_together,secondary,agree,tap_hh,High School,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,n/a,married,none_primary_only,neither,purchased,High School,Destroyed/No House,"2,500 - 5,000",No land,own_toilet
TRUE,n/a,living_together,none_primary_only,agree,purchased,Elementary,Medium Damage Level,"2,500 - 5,000",No land,#N/A
TRUE,n/a,living_together,higher_edu,agree,purchased,Elementary,Medium Damage Level,"<2,500",No land,shared_toilet
TRUE,less,living_together,higher_edu,agree,purchased,High School,Destroyed/No House,"<2,500",No land,own_toilet
FALSE,more,married,higher_edu,strongly_agree,purchased,High School,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
FALSE,more,married,none_primary_only,agree,purchased,Elementary,Destroyed/No House,"<2,500",No land,own_toilet
FALSE,more,living_together,none_primary_only,agree,purchased,High School,High Damage Level,"<2,500",No land,own_toilet
FALSE,dk,married,secondary,agree,rainwater,Graduate,Medium Damage Level,"<2,500",No land,own_toilet
FALSE,more,living_together,none_primary_only,agree,purchased,Primary,Medium Damage Level,"<2,500",No land,#N/A
FALSE,more,married,secondary,agree,purchased,High School,Medium Damage Level,"<2,500",No land,own_toilet
FALSE,more,married,none_primary_only,neither,tap_hh,High School,Medium Damage Level,"<2,500",No land,shared_toilet
TRUE,more,separated,none_primary_only,agree,purchased,High School,Low Damage Level,"<2,500",No land,own_toilet
FALSE,more,widowed,higher_edu,disagree,purchased,Graduate,Low Damage Level,"<2,500",No land,own_toilet
FALSE,more,separated,secondary,agree,tap_hh,Elementary,Low Damage Level,"<2,500",No land,own_toilet
TRUE,skip,married,none_primary_only,strongly_disagree,purchased,Graduate,Low Damage Level,"10,001 - 15,000",No land,shared_toilet
FALSE,more,single,none_primary_only,agree,purchased,Elementary,Medium Damage Level,"2,500 - 5,000",No land,shared_toilet
FALSE,more,living_together,none_primary_only,agree,purchased,Elementary,Destroyed/No House,"<2,500",No land,shared_toilet
TRUE,more,widowed,secondary,agree,purchased,Graduate,Medium Damage Level," >15,000",No land,#N/A
TRUE,more,single,secondary,agree,tap_hh,Elementary,Medium Damage Level,"<2,500",No land,#N/A
TRUE,same,widowed,none_primary_only,agree,purchased,Elementary,Medium Damage Level,"<2,500",No land,own_toilet
FALSE,more,widowed,none_primary_only,agree,purchased,High School,No Damage/Fully Repaired,"5,001 - 10,000",No land,own_toilet
FALSE,more,married,secondary,neither,purchased,High School,Medium Damage Level,"<2,500",No land,shared_toilet
TRUE,same,living_together,higher_edu,agree,tap_hh,High School,Low Damage Level,"2,500 - 5,000",No land,shared_toilet
FALSE,more,married,none_primary_only,agree,rainwater,High School,Low Damage Level,"2,500 - 5,000",1 or less,own_toilet
TRUE,n/a,living_together,none_primary_only,agree,purchased,High School,Low Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,n/a,married,none_primary_only,agree,purchased,High School,Medium Damage Level,"<2,500",1 or less,own_toilet
TRUE,less,married,none_primary_only,strongly_agree,rainwater,Graduate,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,more,widowed,secondary,agree,rainwater,Elementary,Destroyed/No House,"2,500 - 5,000",No land,shared_toilet
FALSE,more,single,secondary,strongly_disagree,tap_hh,Elementary,Medium Damage Level,"<2,500",No land,#N/A
FALSE,more,living_together,none_primary_only,agree,purchased,Graduate,Low Damage Level,"10,001 - 15,000",No land,own_toilet
FALSE,more,married,secondary,agree,purchased,High School,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
FALSE,more,married,none_primary_only,agree,purchased,Graduate,Destroyed/No House,"2,500 - 5,000",No land,#N/A
FALSE,less,single,secondary,agree,purchased,Graduate,Destroyed/No House,"5,001 - 10,000",No land,own_toilet
TRUE,less,married,none_primary_only,agree,rainwater,High School,Destroyed/No House,"<2,500",1 or less,#N/A
FALSE,less,married,none_primary_only,agree,purchased,Graduate,Low Damage Level,"5,001 - 10,000",No land,shared_toilet
FALSE,less,living_together,higher_edu,agree,purchased,High School,Low Damage Level,"<2,500",No land,own_toilet
FALSE,less,married,higher_edu,agree,purchased,Graduate,No Damage/Fully Repaired,"10,001 - 15,000",No land,own_toilet
FALSE,less,living_together,secondary,agree,hand_pump,High School,No Damage/Fully Repaired,"2,500 - 5,000",1 or less,shared_toilet
TRUE,same,living_together,secondary,agree,purchased,High School,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
FALSE,more,living_together,secondary,agree,purchased,Graduate,Medium Damage Level,"10,001 - 15,000",1 or less,own_toilet
TRUE,n/a,single,none_primary_only,neither,tap_hh,Graduate,Low Damage Level,"5,001 - 10,000",No land,shared_toilet
TRUE,n/a,married,higher_edu,agree,purchased,High School,No Damage/Fully Repaired,"2,500 - 5,000",1 or less,shared_toilet
TRUE,n/a,married,none_primary_only,agree,rainwater,Primary,Low Damage Level,"<2,500",1 or less,shared_toilet
TRUE,n/a,married,higher_edu,disagree,hand_pump,High School,Low Damage Level,"2,500 - 5,000",No land,shared_toilet
TRUE,n/a,married,none_primary_only,agree,purchased,Elementary,Low Damage Level,"<2,500",More than 20,own_toilet
TRUE,n/a,married,higher_edu,agree,purchased,Graduate,Destroyed/No House,"2,500 - 5,000",No land,shared_toilet
TRUE,skip,living_together,higher_edu,agree,purchased,Elementary,Medium Damage Level,"2,500 - 5,000",No land,#N/A
TRUE,n/a,living_together,none_primary_only,agree,purchased,High School,Medium Damage Level,"5,001 - 10,000",No land,own_toilet
FALSE,n/a,married,none_primary_only,agree,purchased,Elementary,Medium Damage Level,"<2,500",No land,#N/A
TRUE,n/a,living_together,none_primary_only,agree,purchased,Primary,Medium Damage Level,"2,500 - 5,000",No land,#N/A
FALSE,n/a,married,none_primary_only,agree,purchased,High School,Medium Damage Level,"<2,500",1 or less,#N/A
TRUE,n/a,married,none_primary_only,agree,hand_pump,High School,Medium Damage Level,"5,001 - 10,000",No land,shared_toilet
FALSE,less,married,secondary,strongly_disagree,tap_hh,Graduate,Low Damage Level,"5,001 - 10,000",No land,shared_toilet
TRUE,less,married,none_primary_only,neither,purchased,Graduate,Medium Damage Level,"2,500 - 5,000",No land,own_toilet
TRUE,n/a,married,none_primary_only,agree,purchased,Graduate,No Damage/Fully Repaired," >15,000",1 or less,own_toilet
TRUE,more,married,higher_edu,neither,tap_hh,High School,No Damage/Fully Repaired,"<2,500",No land,shared_toilet
TRUE,n/a,living_together,secondary,agree,purchased,High School,Destroyed/No House,"<2,500",No land,shared_toilet
TRUE,more,married,none_primary_only,neither,purchased,High School,Low Damage Level,"2,500 - 5,000",1 or less,own_toilet
TRUE,n/a,married,none_primary_only,agree,purchased,Graduate,No Damage/Fully Repaired,"10,001 - 15,000",1.01 - 2,own_toilet
FALSE,more,married,secondary,agree,purchased,High School,No Damage/Fully Repaired,"5,001 - 10,000",No land,own_toilet
TRUE,n/a,married,secondary,agree,tap_hh,High School,Destroyed/No House,"2,500 - 5,000",No land,shared_toilet
FALSE,more,married,higher_edu,agree,purchased,Elementary,Destroyed/No House,"2,500 - 5,000",No land,shared_toilet
FALSE,more,married,none_primary_only,agree,purchased,Graduate,Low Damage Level,"5,001 - 10,000",No land,own_toilet
FALSE,n/a,living_together,secondary,neither,purchased,High School,Destroyed/No House,"<2,500",1 or less,#N/A
TRUE,n/a,married,none_primary_only,agree,purchased,High School,Destroyed/No House,"2,500 - 5,000",No land,shared_toilet
TRUE,more,living_together,none_primary_only,neither,purchased,High School,Low Damage Level,"<2,500",1 or less,shared_toilet
TRUE,more,living_together,higher_edu,agree,purchased,Graduate,No Damage/Fully Repaired,"5,001 - 10,000",No land,own_toilet
TRUE,more,living_together,none_primary_only,agree,purchased,Elementary,Medium Damage Level,"2,500 - 5,000",No land,shared_toilet
TRUE,more,living_together,secondary,agree,purchased,Elementary,Destroyed/No House,"<2,500",No land,shared_toilet
TRUE,n/a,separated,secondary,agree,tap_hh,High School,Low Damage Level,"2,500 - 5,000",1 or less,own_toilet
FALSE,same,single,none_primary_only,agree,purchased,High School,Low Damage Level,"<2,500",1 or less,shared_toilet
FALSE,n/a,single,higher_edu,agree,tap_hh,Elementary,Low Damage Level,"<2,500",No land,shared_toilet
TRUE,n/a,separated,none_primary_only,agree,purchased,Graduate,No Damage/Fully Repaired,"5,001 - 10,000",1 or less,shared_toilet
